@relation tutorial3.arff-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R28

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute legal_north {None,North}
@attribute legal_south {None,South}
@attribute legal_east {None,East}
@attribute legal_west {None,West}
@attribute pacman_direction {Stop,East,West,South,North}
@attribute ghost1_alive {True,False}
@attribute ghost2_alive {True,False}
@attribute ghost3_alive {True,False}
@attribute ghost4_alive {True,False}
@attribute distance_ghost1 numeric
@attribute distance_ghost2 numeric
@attribute distance_ghost3 numeric
@attribute distance_ghost4 numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute dots_left numeric
@attribute closest_dot numeric
@attribute score numeric
@attribute next_action {Stop,East,West,South,North}

@data
18,4,North,South,None,West,South,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,16,3,1,10,647,South
17,4,North,South,East,West,West,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,16,3,1,9,646,West
16,4,North,South,East,West,West,False,False,False,True,1000,1000,1000,1,1,1,3,1,5,1,16,3,1,8,645,West
16,3,North,None,East,West,South,False,False,False,True,1000,1000,1000,1,1,1,3,1,5,1,17,3,1,9,644,South
16,3,North,None,East,West,South,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,18,3,1,9,643,Stop
17,3,None,None,None,None,East,False,False,False,False,1000,1000,1000,1000,1,1,3,1,5,1,17,3,1,10,842,East
12,10,North,South,East,West,Stop,True,True,True,True,11,9,5,3,5,6,5,12,13,6,13,12,1,7,-1,Stop
13,10,North,South,East,West,East,True,True,True,True,12,11,5,1,5,6,4,12,13,5,13,11,1,6,-2,East
13,11,North,South,East,West,North,True,True,True,True,12,11,7,1,5,7,3,12,13,4,12,11,1,7,-3,North
12,11,North,South,East,West,West,True,True,True,False,12,9,9,1000,5,6,3,11,14,4,7,1,1,8,196,West
11,11,North,South,East,West,West,True,True,True,False,10,9,9,1000,5,7,3,12,14,5,7,1,1,9,195,West
12,11,North,South,East,West,East,True,True,True,False,10,9,7,1000,5,8,4,12,13,5,7,1,1,8,194,East
12,10,North,South,East,West,South,True,True,True,False,9,11,7,1000,5,8,4,13,14,5,7,1,1,7,193,South
12,9,North,South,East,West,South,True,True,True,False,8,12,6,1000,5,8,4,13,14,5,7,1,1,6,192,South
13,9,North,South,East,West,East,True,True,True,False,8,12,6,1000,5,9,4,12,15,5,7,1,1,5,191,East
14,9,North,South,East,West,East,True,True,True,False,8,12,4,1000,6,9,4,11,14,5,7,1,1,4,190,East
14,8,North,South,East,West,South,True,True,True,False,10,14,4,1000,6,10,4,12,14,4,7,1,1,5,189,South
14,7,North,South,East,West,South,True,True,True,False,12,14,2,1000,6,11,5,12,14,5,7,1,1,6,188,South
14,6,North,South,East,West,South,True,True,True,False,14,15,2,1000,5,11,5,12,14,4,7,1,1,7,187,South
14,5,North,South,East,West,South,True,True,True,False,16,15,2,1000,5,12,5,11,15,4,7,1,1,8,186,South
15,5,North,South,East,West,East,True,True,False,False,18,17,1000,1000,4,12,4,11,15,5,7,1,1,7,385,East
16,5,North,South,East,West,East,True,True,False,False,19,19,1000,1000,4,12,4,12,5,1,7,1,1,6,384,East
15,5,North,South,East,West,West,True,True,False,False,19,19,1000,1000,4,13,3,12,5,1,7,1,1,7,383,West
14,5,North,South,East,West,West,True,True,False,False,19,18,1000,1000,3,13,3,12,5,1,7,1,1,8,382,West
13,5,North,South,East,West,West,True,True,False,False,19,17,1000,1000,3,14,3,12,5,1,7,1,1,9,381,West
13,6,North,South,East,West,North,True,True,False,False,19,15,1000,1000,2,14,3,11,5,1,7,1,1,8,380,North
13,7,North,South,East,West,North,True,True,False,False,17,15,1000,1000,2,13,2,11,5,1,7,1,1,7,379,North
13,8,North,South,East,West,North,True,True,False,False,17,14,1000,1000,2,14,2,11,5,1,7,1,1,6,378,North
12,8,North,South,East,West,West,True,True,False,False,15,14,1000,1000,2,13,2,12,5,1,7,1,1,7,377,West
11,8,North,South,East,West,West,True,True,False,False,14,14,1000,1000,2,13,1,12,5,1,7,1,1,8,376,West
10,8,North,South,East,West,West,True,True,False,False,13,13,1000,1000,2,13,1,12,5,1,7,1,1,9,375,West
9,8,North,South,East,West,West,True,True,False,False,13,13,1000,1000,1,13,1,13,5,1,7,1,1,10,374,West
9,9,North,South,East,West,North,True,True,False,False,11,13,1000,1000,2,13,1,14,5,1,7,1,1,9,373,North
9,10,North,South,East,West,North,True,True,False,False,10,11,1000,1000,2,13,2,14,5,1,7,1,1,10,372,North
9,11,North,South,East,West,North,True,True,False,False,10,9,1000,1000,1,13,3,14,5,1,7,1,1,11,371,North
8,11,North,South,East,West,West,True,True,False,False,8,7,1000,1000,2,13,3,13,5,1,7,1,1,12,370,West
7,11,North,South,East,West,West,True,True,False,False,6,6,1000,1000,2,12,3,13,5,1,7,1,1,13,369,West
6,11,North,South,East,West,West,True,True,False,False,6,5,1000,1000,2,13,3,13,5,1,7,1,1,14,368,West
5,11,North,None,East,West,West,True,True,False,False,4,5,1000,1000,3,13,2,13,5,1,7,1,1,15,367,West
4,11,North,None,East,West,West,True,True,False,False,4,3,1000,1000,2,13,2,12,5,1,7,1,1,16,366,West
4,12,North,South,East,West,North,True,True,False,False,2,3,1000,1000,3,13,2,13,5,1,7,1,1,17,365,North
3,12,North,South,East,West,West,False,True,False,False,1000,1,1000,1000,3,12,2,12,5,1,7,1,1,18,564,West
2,12,North,South,East,West,West,False,True,False,False,1000,1,1000,1000,1,1,1,12,5,1,7,1,1,19,563,West
1,12,North,South,East,None,West,False,True,False,False,1000,1,1000,1000,1,1,1,11,5,1,7,1,1,20,562,West
1,12,North,South,East,None,West,False,True,False,False,1000,1,1000,1000,1,1,1,11,5,1,7,1,1,20,561,Stop
1,11,North,None,East,None,South,False,True,False,False,1000,1,1000,1000,1,1,2,11,5,1,7,1,1,19,560,South
2,11,None,None,None,None,East,False,False,False,False,1000,1000,1000,1000,1,1,2,11,5,1,7,1,1,18,759,East
9,3,None,None,East,West,Stop,True,True,True,True,5,5,6,14,8,7,10,7,11,7,17,9,68,1,-1,Stop
